Applicant_ID,Age,Annual_Income,Credit_Score,Loan_Amount,Debt_to_Income_Ratio,Employment_Years,Default
APP_0001,25,215525,783,98364,0.6146,25,0
APP_0002,56,198915,334,85622,0.3491,33,1
APP_0003,50,157529,519,116591,0.6885,26,1
APP_0004,41,233645,552,120270,0.486,24,1
APP_0005,41,57758,739,89588,0.1277,19,0
APP_0006,59,241685,371,49509,0.643,10,1
APP_0007,25,225252,539,76888,0.3778,11,1
APP_0008,52,144842,383,56009,0.1449,30,1
APP_0009,30,198146,733,80491,0.1523,2,0
APP_0010,26,148703,648,102454,0.5106,3,1
APP_0011,45,90353,573,49319,0.0817,16,1
APP_0012,64,213569,516,65691,0.242,31,1
APP_0013,54,85053,384,10476,0.1437,26,1
APP_0014,55,100952,807,93388,0.3455,24,1
APP_0015,53,148475,656,63782,0.3276,21,0
APP_0016,56,222272,475,60165,0.3997,4,1
APP_0017,44,117070,528,68891,0.2374,13,1
APP_0018,27,142640,700,30859,0.0715,3,0
APP_0019,58,37666,696,76756,0.4616,31,1
APP_0020,41,54878,554,94424,0.3004,30,1
APP_0021,44,40979,466,46961,0.4864,10,0
APP_0022,38,44717,663,20738,0.1228,12,1
APP_0023,30,229496,662,51420,0.0592,13,1
APP_0024,62,223342,630,28830,0.2164,36,1
APP_0025,56,218677,340,49872,0.3559,20,0
APP_0026,50,40891,560,80218,0.314,31,1
APP_0027,39,46013,638,18607,0.5929,18,1
APP_0028,58,93101,823,94672,0.3032,28,1
APP_0029,45,159148,589,31953,0.4054,21,1
APP_0030,41,105518,488,112362,0.4477,11,1
APP_0031,41,141113,606,92893,0.0646,35,1
APP_0032,31,68134,397,37710,0.3951,29,1
APP_0033,26,197540,349,72587,0.281,31,1
APP_0034,46,100823,673,18286,0.3323,38,0
APP_0035,61,43437,843,16968,0.1172,10,0
APP_0036,24,200304,766,119725,0.5745,3,1
APP_0037,59,237446,621,101291,0.6814,23,1
APP_0038,58,31406,322,23530,0.0649,13,1
APP_0039,34,129308,844,38922,0.4529,17,0
APP_0040,49,219904,547,28720,0.5618,9,1
APP_0041,29,191830,459,52419,0.2408,16,1
APP_0042,55,226719,791,39959,0.5777,16,0
APP_0043,52,124328,711,44367,0.4737,14,1
APP_0044,37,114364,713,68526,0.6725,30,1
